,countryname,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
72,Guyana,73,69.2433317638416,62.8271601476687,60.98028404707266,46.178735378867394,59.94265384227283,59.87135619279008,66.42857840811224,43.357397359336346,17.433557010057005,38.269359959531336,59.13533351850639,38.9508754353107,96.87143648436802,39.15447218942832,69.59904094299259,55.75376966805715,26.38695750654686,51.9115553800553,UMI,lat_cab
73,Mongolia,74,69.06993640811525,57.3902906453393,69.41902528864783,59.180065438493806,54.554749709971915,29.063869308539527,57.31927440081907,51.2002452903605,16.287909748864855,48.177141717163614,44.73744089658344,58.390148456792105,55.208337239842606,55.42523729125408,67.08135216747095,59.82080243656817,30.259322450727648,51.930929275039546,LMI,east_as
74,Peru,75,69.0399070746699,64.52974792508309,71.14447667508094,51.087343891958504,56.05057110647108,49.59068360243891,61.30461425501045,54.77824860157656,18.77503165189526,37.8091786236292,60.650891385482744,55.88242717667802,59.80348638313986,54.73977794216104,59.29694573796502,57.38849428112946,27.372046092547972,54.000602019142384,UMI,lat_cab
75,Trinidad and Tobago,76,68.64,48.702623191528254,72.36727592337067,56.627481974245,57.90880610545544,60.82041168623028,70.7637544795009,41.18601657407725,27.32832068266375,54.66935007340222,63.76781731208061,18.31916657471241,11.774871763626798,45.381992588066026,59.60474968144717,58.64723122597767,33.529364829207076,51.60334923404693,HI,lat_cab
76,Kazakhstan,77,68.61578278003901,57.39784214750381,73.0958540269945,55.80879830021172,51.30350429521186,61.77297433956255,72.62462516991329,44.80359871766709,27.23334276602065,57.7009422477779,61.36081778726237,62.122531241507154,34.59382253025681,56.5592640457286,61.36197520369376,64.2647523951789,19.67566408162435,55.29894545580827,UMI,cent_as
77,Brazil,78,68.3315534731334,74.31967899341298,72.89701748101784,54.873756998956736,48.72833999980101,59.413884047271665,68.86388902878878,45.81333945078131,29.80041362969778,35.00139870215974,62.641698259148264,52.46631218931662,53.451423425479945,59.11863307639537,68.05257022833125,52.74389738097464,40.02887338549785,56.37535067445402,UMI,lat_cab
78,Algeria,79,68.31435912819151,59.695359592940314,68.0229146490422,56.7312557989564,40.95964594618356,52.859826399084376,70.35228935358764,37.39632380781847,14.322534456432795,50.46818854065365,56.00053854629809,62.03617744600123,51.00755744140121,55.60741910438021,69.74404201482426,63.88397548734123,31.993967327993033,53.147946669715004,UMI,north_af
79,Paraguay,80,67.97410714285715,73.57368187971974,68.34664867195367,51.32600157978077,48.03871463089482,61.49346736868818,59.07031303847627,50.09126079149113,15.221954095012233,32.10692987154362,62.23642263190334,52.922264637007764,63.21967026840343,46.07150367155108,63.38336075783806,54.92248842012425,27.53418672094576,52.969639280023166,UMI,lat_cab
80,Bhutan,81,67.9680528435054,59.8450108615092,65.65180785449951,49.382786693390585,39.121275022702775,48.636432267353236,58.09105420072832,44.221226022146986,19.009714081260565,49.42291318799784,50.59571395282314,49.98833540250671,55.05484830938845,48.72475522862678,58.965424143962345,76.53287052931854,23.24002740683979,51.37254659898658,LMI,south_as
81,Philippines,82,67.9628061882357,60.01576748982265,64.57426019967869,51.82560886240378,60.16687513740762,52.298205363578575,55.56792953167188,43.840293604079534,18.717948491221073,48.04500425828501,53.046702973222416,51.486276198001775,60.83335443332099,58.939111927929716,52.870443781324184,65.28853152618014,16.428815754426996,52.28085322909888,LMI,southeast_as
