,Country,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
30,Belarus,31,80.00742148411494,60.46808293893258,76.47891031089833,65.07017510595226,57.5531007137497,72.07538481622859,79.13756993353226,64.00290112169718,34.577810206744836,76.89556757268655,83.14683371453073,70.40083263616171,67.27379094414712,59.013600344993826,79.40365354392242,71.90597995269799,47.82071347815081,66.39521816534287,UMI,east_eu
31,Malaysia,32,79.83175205566098,51.93521797687675,75.80549420037502,57.51504223354485,51.11758986753088,62.24768348619876,77.1209386092409,61.134748143165986,43.4309243944514,64.76204541468898,80.30186318295529,67.71202165715563,66.23771303008331,53.768063795463135,58.13258401061311,76.20587441661038,42.453959473892894,62.91297819921381,UMI,southeast_as
32,Ukraine,33,79.81503272155057,57.742333378454575,71.23034445542484,54.01530505982427,50.597012205161604,58.28059551570234,76.01900435469457,49.77357089307885,30.49400891810069,77.71067549972973,78.78129381248709,65.92521610717434,68.61949065712014,44.60827681553236,66.42655651554958,69.71647051303006,48.13108754914842,60.368451507543654,LMI,east_eu
33,Kuwait,34,79.79491977896922,62.41267497492298,78.35438807359597,62.58025071209371,49.07316041633268,84.86398559288007,78.3534134715715,51.2367168257361,40.6980436631177,74.30832770879154,66.57606886486582,31.671217545429265,50.00650507405356,54.475939315520804,70.24979569055888,80.67524018180723,47.12394475424525,62.97234029531358,HI,west_as
34,Brunei Darussalam,35,79.61012041229561,57.62303570805654,79.67734122411,65.8500156252998,49.64424000600747,68.39160509070692,79.73237780902514,59.66367821731381,37.77067147422527,71.87310378394636,86.2189192563167,65.33424266930363,49.876411142795845,58.76409757896136,73.14344167889075,76.70159614544247,44.177998075207135,64.98416165831948,HI,southeast_as
35,Romania,36,79.60697878908469,61.04663620016093,75.86045291105502,62.58533962407197,52.91420806085112,62.33566062296768,76.67136296153862,61.220592857135856,38.310810038721065,60.71172448743308,83.0569704049428,65.3791192359195,69.75171804828638,59.3393500155144,86.67726500496141,80.12389742313164,45.69877645775084,65.57733510545721,UMI,east_eu
36,Serbia,37,79.60054824943076,64.16615583357573,78.8582567536996,57.78734523451866,62.285539384635435,56.58934713216875,72.50048217894525,52.33913521358026,38.061686596949095,73.41279723124286,77.15093720110744,72.49667793688364,67.36310733912347,44.54839618272636,68.8197678381256,75.56400550397497,50.40642429110693,64.21019458988644,UMI,sou_eu
37,Portugal,38,79.56330410360762,52.15008608109819,86.0508096249456,70.97417377490332,49.02571068863717,68.0179750069744,82.20204518883293,62.92260203733603,49.954675431637746,71.19561718867537,79.9858470776587,55.404595170690975,68.21414028950844,57.054077553259404,81.96755034980443,85.35379616452407,49.96630819823853,68.32508471407596,HI,sou_eu
39,Algeria,40,79.12321331302525,59.39387930854617,74.04140306935983,52.429100973137146,41.643147699934765,61.12551709715164,74.23349979974964,47.62849612200544,31.131905615198413,74.72807287529174,72.9576358525866,71.99936788128194,68.46732845804335,47.89750869689571,70.00623046657157,74.65401831825297,46.74401857550564,60.972630213614565,UMI,north_af
40,Bulgaria,41,78.75270995086986,60.75359293469679,75.34835315026106,60.32333506621026,57.793115014053114,67.73745392610013,77.53365196150918,61.71929401282012,36.669953405316875,69.93813966524543,83.54656571775303,66.76916128340271,68.25458442912223,71.62824615670027,96.45352178465586,75.24259720046732,47.76215500852764,66.74273753745108,UMI,east_eu
